fsq_id,name,popularity,price,rating,total_photos,total_ratings,total_tips
35626381b7ad41eb88f4cfe1,Bagel Street Cafe,,,,,,
ba57e322fdc14ed7da1f9d19,Vera's Burger Shack,,,,,,
a724edfe966d49f771d58115,Sankyu Lounge,,,,,,
243916511d084f0b7f8f25ae,The Pond on Commercial Drive,,,,,,
2f24a6023e4f45439ce74f76,Marcellos,,,,,,
93411f9e2c3544369482551c,Merchant's Oyster Bar,,,,,,
4b525ee5f964a520e17927e3,La Grotta Del Formaggio,0.950709962756052,1.0,8.2,42.0,51.0,15.0
5060a443e4b0be43501ee278,The Cannibal Cafe,0.9296438547486032,2.0,7.8,66.0,92.0,24.0
4aa80372f964a520b84e20e3,Calabria Bar,0.9509815332091868,1.0,7.4,85.0,47.0,17.0
4bd9b9402e6f0f47a2aa0b08,J N & Z Deli,0.8646221291123526,1.0,7.4,7.0,13.0,4.0
4aab286ef964a520255920e3,Belgian Fries,0.9742202048417132,1.0,7.4,128.0,75.0,22.0
4ab15459f964a520096920e3,Take Thai Home,0.958760086902545,1.0,6.6,12.0,12.0,5.0
4e1b538cae60ddb8f651e43b,Kojima Sushi,0.9313896648044692,2.0,6.7,30.0,20.0,6.0
5a10b8a16dcf0435cc454214,Spade,0.845030260707635,1.0,6.5,13.0,10.0,4.0
6036f4100f1daa62800ffe47,Social,0.9639199255121044,2.0,,,,
5cf08a740e3239002b98435d,Park Drive,0.9461514587212912,2.0,,,,
5b5b7a8e8c35dc002cfcc1c9,Sushi Ninja,0.0937887957790192,2.0,,,,
62fb2eb96e959e1e3078e3b9,Osita,0.5739447548106766,,,,,
2abc17dd73214beea92d2b27,Saloniki Restaurant,,,,,,
3951572017e14dd402ac844e,Fratelli Authentic Italian Baking,,,,,,
4dfe52e6b0fb709b61e36ce6,Kishimoto Japanese Restaurant,0.968284450651769,2.0,8.6,224.0,134.0,38.0
4f73c020e4b0ab2907d5a86f,Siddharthas Indian Kitchen,0.9169188392302916,2.0,8.9,32.0,90.0,13.0
4aa838eaf964a520315020e3,Prado Cafe,0.9658015207945376,1.0,8.1,150.0,127.0,47.0
4ab6cfe7f964a520267920e3,Rinconcito Salvadoreno Restaurant,0.8541666666666666,2.0,8.2,20.0,24.0,13.0
5bb2874235811b00398ffc2b,Elephant Garden Creamery,0.9606804779639976,1.0,7.9,20.0,10.0,2.0
