,Unnamed: 0,Station ID,Station Name,latitude,longitude
226,226,57d39a680c9407cda0fb4de6d9c55138,0505 28th & Willow,49.246243,-123.124373
227,227,97388f4e4ea102a30345524bda465f4e,0554 Ontario & 23rd,49.249722,-123.104991
228,228,066ecc3584913fa035ec1417323beb80,0557 30th & Ontario,49.243375,-123.104978
229,229,b530d04d393d71cffb8b8b07f4a82380,0642 Franklin & Nanaimo,49.282087,-123.056909
230,230,06bdc4d55f34b2a491305534fd5defda,0631 Lakewood & Triumph,49.283968,-123.061615
231,231,8e44a17d2fa446ca220b90c7063b42ca,0611 Wall & Eton,49.287464,-123.060771
232,232,7c17f51469f1a7145455f65ef6afbd87,0621 Lakewood & Oxford,49.285575,-123.061575
233,233,e1432b72df561a1df34290679ec9c773,0532 22nd & Cambie,49.251358,-123.115637
234,234,549f00f6039e8bb702a00dcca08a8ed0,0524 King Edward & Cambie,49.249184,-123.116141
235,235,d8c4fe5e09b6f010fbaa85cc7302d66b,0516 Heather & 29th,49.245535,-123.120496
236,236,0c42f45e4a14957ad4a6d521d0ba8bc3,0041 Cardero & Robson,49.289255,-123.132677
237,237,62a202eb98c0a4b09ba6746f5ee94ab3,0352 Commercial & 20th,49.252656,-123.067965
238,238,a6c6df138cbc97b9f81e7ffbbebdde6f,0196 Hornby & Drake,49.277527,-123.129464
239,239,04f64fde5ba1ebde8ad78c74914adb34,210 Burrard & 14th,49.259469,-123.145718
